date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,19.49,0.0858,0.0919,-0.0797,,17.0,0.0267,,OPEN
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,32.5,0.04,0.1466,-0.0502,,17.0,0.0038,,OPEN
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,35.69,-0.0792,0.0395,-0.0924,,17.0,-0.0025,,OPEN
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,61.42,-0.0204,0.0427,-0.0359,,17.0,0.0056,,OPEN
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,114.2,-0.052,0.0792,-0.0889,,17.0,0.0665,,OPEN
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,193.24,-0.0486,0.0093,-0.0997,,17.0,-0.0669,,OPEN
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,14.14,-0.0112,0.0497,-0.0608,,17.0,0.0063,,OPEN
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,195.66,0.1011,0.1243,-0.0109,,17.0,0.0196,,OPEN
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,7.69,-0.2498,0.0156,-0.2717,,17.0,-0.0849,,OPEN
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,27.79,-0.0801,0.0122,-0.0976,,17.0,-0.003,,OPEN
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,143.9,0.0708,0.0757,-0.0435,,17.0,-0.0184,,OPEN
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,148.02,-0.014,0.0319,-0.0348,,16.0,-0.0119,,OPEN
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.36,0.002,0.0167,-0.063,,17.0,-0.0374,,OPEN
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,57.45,0.0708,0.0815,-0.0216,,17.0,0.0076,,OPEN
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,64.44,0.2249,0.3102,-0.0224,,16.0,0.0502,,OPEN
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,41.34,0.0732,0.1046,-0.0106,,16.0,0.0419,,OPEN
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,7.73,0.0446,0.0919,-0.0635,,16.0,0.0534,,OPEN
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,52.36,-0.0013,0.0484,-0.038,,15.0,-0.0076,,OPEN
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,62.76,0.3127,0.4292,-0.0151,,16.0,0.1012,,OPEN
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,13.76,-0.0569,0.0583,-0.0658,,15.0,0.037,,OPEN
2026-07-02,MAMA,"Mama's Creations, Inc.",B,FRESH IGNITION,61.9,18.33,,17.75,-0.0498,0.0535,-0.1183,,16.0,0.0214,,OPEN
2026-07-02,EGBN,"Eagle Bancorp, Inc.",B,FRESH IGNITION,61.7,28.57,,28.15,0.0203,0.0507,-0.1287,,16.0,-0.029,,OPEN
2026-07-02,SRRK,Scholar Rock Holding Corporatio,B,FRESH IGNITION,61.5,52.84,,48.93,-0.1084,0.0658,-0.1386,,16.0,0.0313,,OPEN
2026-07-02,PVLA,"Palvella Therapeutics, Inc.",B,FRESH IGNITION,69.4,146.76,,141.77,-0.034,0.0771,-0.1782,,16.0,-0.0181,,OPEN
2026-07-02,PTCT,"PTC Therapeutics, Inc.",B,FRESH IGNITION,66.9,83.31,,75.8,-0.0901,0.0907,-0.091,,16.0,0.0296,,OPEN
2026-07-02,AUB,Atlantic Union Bankshares Corpo,B,FRESH IGNITION,60.4,42.26,,42.17,-0.0021,0.031,-0.0445,,16.0,-0.008,,OPEN
2026-07-02,ALTO,"Alto Ingredients, Inc.",B,FRESH IGNITION,60.3,5.56,,4.5,-0.1906,0.0935,-0.214,,16.0,0.0153,,OPEN
