sym,date,last,stop,zlsma,atr,adx,pdi,ndi,regime,pct200,advol,f5,f10,f21
HD,2026-04-09,339.58,315.33,305.2144,10.0459,34.9369,19.1699,27.7692,REPAIR,-8.9949,1420452273,-0.7156,0.1708,-6.5169
HD,2026-05-21,313.78,294.56,320.1664,8.7197,32.844,18.1251,32.8197,DEEP-FAIL,-14.3623,1604219814,1.0708,-0.9561,3.4005
LOW,2026-03-25,236.18,225.3602,213.2264,6.8048,41.3635,17.2971,33.8694,REPAIR,-4.2896,658659929,-0.0847,4.9242,3.5016
LOW,2026-06-09,217.37,201.91,198.305,6.2243,39.3512,18.2028,25.8207,DEEP-FAIL,-11.9618,707753557,3.0593,1.877,-2.6407
COST,2026-03-30,996.58,965.86,947.4889,15.716,18.9112,20.3528,20.5555,REPAIR,5.0968,1730273059,1.6687,-2.1855,0.2097
COST,2026-04-21,1005.81,966.21,991.2626,19.2722,14.2841,23.1568,23.2158,PASS,5.95,1803541346,-1.1742,1.0549,6.7806
COST,2026-06-16,986.68,952.79,965.2135,22.0006,15.2348,22.4825,23.5247,REPAIR,3.0181,2455351503,-2.5935,-6.2847,-4.6428
MCD,2026-04-17,311.36,302.51,290.1282,4.8929,23.163,23.9726,21.0107,REPAIR,0.5999,983224611,-3.8541,-7.9394,-9.2786
MCD,2026-05-18,282.47,271.33,277.5897,5.774,29.7611,19.7102,26.7603,REPAIR,-8.4101,1173439331,-1.1364,-2.1631,0.4779
MCD,2026-06-09,282.25,271.71,276.1263,5.0191,16.6699,23.2974,17.649,REPAIR,-7.8562,1192943117,2.0124,-2.9424,-2.7104
NKE,2026-04-15,45.44,42.3902,39.8766,1.8978,46.9276,19.0842,35.9437,DEEP-FAIL,-30.8837,1290667377,0.5282,-2.3107,-7.5264
NKE,2026-05-07,44.41,42.9202,43.9116,1.0341,36.0457,20.0641,33.1241,DEEP-FAIL,-29.9895,908224438,-5.3817,-0.045,-2.6571
NKE,2026-05-20,44.19,41.45,44.9449,1.1041,35.5161,19.5226,27.7756,DEEP-FAIL,-28.6346,871028993,7.1962,-1.2899,-2.263
NKE,2026-06-11,45.96,41.92,48.2473,1.4275,19.4466,29.0748,18.6946,DEEP-FAIL,-22.8433,996676473,-1.6536,-11.3359,-6.745
KO,2026-04-06,77.22,75.1136,72.3133,1.2123,17.6572,20.74,20.4574,PASS,8.2547,1204306591,-1.049,-2.2533,1.6317
KO,2026-04-24,76.63,74.96,73.3806,1.2946,16.9873,20.5453,21.3045,REPAIR,6.8117,1021622440,2.5447,2.3359,4.998
KO,2026-06-09,81.34,77.88,81.3541,1.5757,21.1768,23.1469,18.4484,PASS,11.0086,1311566879,-1.3032,-0.9098,2.6432
PEP,2026-03-30,156.82,146.16,146.6323,3.1518,26.9563,23.5532,26.0109,REPAIR,6.4846,1011641696,-2.302,-0.7014,-0.9756
PEP,2026-06-15,146.25,140.37,138.7624,2.9012,22.4124,21.7544,22.1789,REPAIR,-2.7046,1282911011,-2.8718,-7.4188,-4.6632
PM,2026-04-22,163.95,141.05,149.8119,4.2067,36.402,22.2582,28.9445,REPAIR,-0.4972,760998862,-0.7563,4.0134,14.9497
PM,2026-06-12,184.3,174.9,188.2728,5.22,18.4577,22.9608,18.5995,PASS,10.9377,800416964,-6.0391,-0.7759,-1.8557
TJX,2026-03-25,159.74,153.46,160.2902,3.2189,14.2609,21.1724,15.6665,PASS,11.3202,771466167,1.4336,3.2929,-1.6965
TJX,2026-05-18,150.25,144.89,149.5171,3.1361,27.2258,15.9018,23.82,REPAIR,0.5173,754852447,5.8037,2.2895,9.2379
TJX,2026-06-03,157.9,149.97,152.0685,3.5385,21.1109,27.2396,18.1961,PASS,4.6874,1058696865,6.1811,3.9455,-4.1735
DIS,2026-04-08,99.18,94.2,96.2316,2.175,32.0956,22.4287,26.3835,DEEP-FAIL,-10.8144,1079313630,3.8919,5.6866,9.5584
DIS,2026-04-30,103.75,99.54,105.4911,2.1575,19.3499,27.6401,21.3237,REPAIR,-5.457,776231677,4.7325,1.6096,-0.8675
DIS,2026-06-18,103.89,97.52,96.3108,2.1757,12.4764,21.8358,15.8879,REPAIR,-3.0246,972485164,-4.909,-6.2374,-7.4598
