date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,19.73,0.0992,0.1259,-0.0797,,19.0,0.0267,,OPEN
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,27.35,-0.1248,0.1466,-0.1334,,19.0,0.0038,,OPEN
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,35.13,-0.0937,0.0395,-0.1138,,19.0,-0.0025,,OPEN
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,61.21,-0.0238,0.0427,-0.0389,,19.0,0.0056,,OPEN
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,107.57,-0.107,0.0792,-0.1119,,19.0,0.0665,,OPEN
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,189.48,-0.0672,0.0305,-0.0997,,19.0,-0.0669,,OPEN
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,12.05,-0.1573,0.0497,-0.1647,,19.0,0.0063,,OPEN
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,198.44,0.1168,0.1692,-0.0109,,19.0,0.0196,,OPEN
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,7.31,-0.2868,0.0156,-0.3307,,19.0,-0.0849,,OPEN
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,28.0,-0.0732,0.0122,-0.0976,,19.0,-0.003,,OPEN
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,145.21,0.0806,0.0914,-0.0435,,19.0,-0.0184,,OPEN
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,144.4,-0.0381,0.0319,-0.0394,,19.0,-0.0119,,OPEN
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.67,0.0172,0.0354,-0.063,,19.0,-0.0374,,OPEN
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,57.52,0.0721,0.0941,-0.0216,,19.0,0.0076,,OPEN
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,64.92,0.234,0.3102,-0.0224,,18.0,0.0502,,OPEN
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,41.08,0.0665,0.1083,-0.0106,,18.0,0.0419,,OPEN
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,8.08,0.0919,0.1176,-0.0635,,18.0,0.0534,,OPEN
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,54.27,0.0351,0.0484,-0.038,,18.0,-0.0076,,OPEN
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,63.35,0.325,0.4292,-0.0151,,18.0,0.1012,,OPEN
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,14.08,-0.035,0.0583,-0.0658,,18.0,0.037,,OPEN
2026-07-02,MAMA,"Mama's Creations, Inc.",B,FRESH IGNITION,61.9,18.33,,18.19,-0.0262,0.0535,-0.1183,,18.0,0.0214,,OPEN
2026-07-02,EGBN,"Eagle Bancorp, Inc.",B,FRESH IGNITION,61.7,28.57,,27.89,0.0109,0.0507,-0.1287,,18.0,-0.029,,OPEN
2026-07-02,SRRK,Scholar Rock Holding Corporatio,B,FRESH IGNITION,61.5,52.84,,49.06,-0.106,0.0658,-0.1386,,18.0,0.0313,,OPEN
2026-07-02,PVLA,"Palvella Therapeutics, Inc.",B,FRESH IGNITION,69.4,146.76,,142.6,-0.0283,0.0771,-0.1782,,18.0,-0.0181,,OPEN
2026-07-02,PTCT,"PTC Therapeutics, Inc.",B,FRESH IGNITION,66.9,83.31,,74.49,-0.1059,0.0907,-0.1284,,18.0,0.0296,,OPEN
2026-07-02,AUB,Atlantic Union Bankshares Corpo,B,FRESH IGNITION,60.4,42.26,,42.62,0.0085,0.031,-0.0445,,18.0,-0.008,,OPEN
2026-07-02,ALTO,"Alto Ingredients, Inc.",B,FRESH IGNITION,60.3,5.56,,4.36,-0.2158,0.0935,-0.2428,,18.0,0.0153,,OPEN
2026-07-07,OPY,"Oppenheimer Holdings, Inc.",A,FRESH IGNITION,76.0,115.47,,109.79,-0.0367,0.0813,-0.0815,,16.0,0.0379,,OPEN
2026-07-07,BSTZ,BlackRock Science and Technolog,B,FRESH IGNITION,65.2,29.62,,26.56,-0.0629,0.0476,-0.0668,,16.0,0.0319,,OPEN
2026-07-07,DSGN,"Design Therapeutics, Inc.",B,FRESH IGNITION,63.3,14.85,,12.02,-0.1829,0.07,-0.2273,,16.0,-0.0707,,OPEN
2026-07-07,GKOS,Glaukos Corporation,A,COILED,72.5,148.7,139.22,161.66,0.0731,0.1019,-0.05,,16.0,0.0119,,OPEN
2026-07-07,NVRI,Enviri Corporation,A,COILED,70.7,23.1,21.38,22.19,-0.0151,0.0457,-0.0457,,16.0,0.0009,,OPEN
2026-07-07,TRNS,"Transcat, Inc.",B,COILED,69.4,91.72,85.33,81.35,-0.069,0.0897,-0.0888,Y,16.0,0.0269,,OPEN
2026-07-07,CROX,"Crocs, Inc.",B,COILED,67.7,125.78,118.42,133.52,0.072,0.1274,-0.0386,,16.0,0.0532,,OPEN
2026-07-07,EPC,Edgewell Personal Care Company,B,COILED,66.4,26.67,24.69,28.22,0.0605,0.1218,-0.0782,Y,16.0,0.0316,,OPEN
2026-07-07,AMG,"Affiliated Managers Group, Inc.",B,COILED,66.1,356.61,340.8,360.07,0.001,0.064,-0.0879,Y,16.0,0.0175,,OPEN
2026-07-07,LEVI,Levi Strauss & Co,B,COILED,64.6,24.68,23.46,24.67,0.007,0.049,-0.0888,Y,16.0,-0.0353,,OPEN
2026-07-07,MSM,"MSC Industrial Direct Company, ",B,COILED,64.6,121.14,115.55,120.97,0.0148,0.0805,-0.0159,,16.0,0.0412,,OPEN
2026-07-07,HXL,Hexcel Corporation,B,COILED,64.1,101.3,96.66,105.61,0.0549,0.1162,-0.0277,,16.0,0.0177,,OPEN
2026-07-07,ANET,"Arista Networks, Inc.",B,COILED,64.1,173.28,158.76,157.97,-0.051,0.1403,-0.0576,Y,16.0,0.0968,,OPEN
2026-07-07,EAT,"Brinker International, Inc.",B,COILED,63.4,176.28,165.33,205.73,0.1736,0.1916,-0.04,,16.0,0.0572,,OPEN
2026-07-07,YOU,"Clear Secure, Inc.",B,COILED,63.3,56.74,52.72,58.39,0.0444,0.0726,-0.0835,Y,16.0,-0.0424,,OPEN
2026-07-07,PSA,Public Storage,B,COILED,62.8,324.0,313.33,329.44,0.0023,0.0209,-0.0643,Y,16.0,-0.0297,,OPEN
2026-07-07,MATX,"Matson, Inc.",B,COILED,62.7,204.53,195.02,201.84,0.0167,0.1622,-0.0253,Y,16.0,0.0626,,OPEN
2026-07-07,MCB,Metropolitan Bank Holding Corp.,B,COILED,62.4,100.21,96.05,92.58,-0.0463,0.0444,-0.109,Y,16.0,-0.0018,,OPEN
2026-07-07,AAPL,Apple Inc.,B,COILED,62.3,312.66,299.72,338.19,0.0886,0.1092,-0.0116,,16.0,0.0135,,OPEN
2026-07-07,DBD,Diebold Nixdorf Incorporated,B,COILED,62.2,84.16,79.81,75.17,-0.1004,0.102,-0.1204,Y,16.0,0.0241,,OPEN
2026-07-07,FR,"First Industrial Realty Trust, ",B,COILED,62.0,63.04,61.13,65.33,0.014,0.0846,-0.0081,,16.0,0.005,,OPEN
2026-07-07,PM,Philip Morris International Inc,B,COILED,61.9,184.76,177.43,198.44,0.0567,0.1063,-0.0641,Y,16.0,-0.063,,OPEN
2026-07-07,NET,"Cloudflare, Inc.",B,COILED,61.5,247.55,229.17,270.38,0.0058,0.0825,-0.0675,,16.0,0.0481,,OPEN
2026-07-07,TT,Trane Technologies plc,B,COILED,61.0,487.24,463.11,446.8,-0.0608,0.0316,-0.066,Y,16.0,0.0164,,OPEN
2026-07-07,ECO,Okeanis Eco Tankers Corp.,B,COILED,60.9,53.35,49.86,58.32,0.0856,0.1132,-0.0525,,16.0,0.056,,OPEN
2026-07-07,JPM,JP Morgan Chase & Co.,B,COILED,60.8,337.72,326.7,344.71,0.0162,0.0592,-0.0397,Y,16.0,0.0108,,OPEN
2026-07-07,FCFS,"FirstCash Holdings, Inc.",B,COILED,60.5,224.29,212.06,202.22,-0.0942,0.001,-0.1538,Y,16.0,-0.0591,,OPEN
2026-07-07,CPT,Camden Property Trust,B,COILED,60.2,116.95,113.73,116.37,-0.0103,-0.0049,-0.052,Y,16.0,-0.0391,,OPEN
2026-07-07,MAC,Macerich Company (The),B,COILED,60.2,25.28,24.27,26.09,0.0235,0.0467,-0.051,Y,16.0,-0.0235,,OPEN
2026-07-07,COLB,"Columbia Banking System, Inc.",B,COILED,60.0,32.24,31.18,30.78,-0.0417,0.0486,-0.0428,Y,16.0,0.004,,OPEN
2026-07-07,LPRO,Open Lending Corporation,A,COOLING,70.3,3.13,2.97,3.14,0.0032,0.0064,-0.0032,,16.0,0.0032,,OPEN
2026-07-07,VOYA,"Voya Financial, Inc.",B,COOLING,67.9,96.28,92.8,98.82,0.0251,0.0773,-0.0189,,16.0,0.0197,,OPEN
2026-07-07,ZD,"Ziff Davis, Inc.",A,COOLING,70.0,53.78,51.02,54.27,0.019,0.0321,-0.0529,Y,16.0,-0.0248,,OPEN
2026-07-07,OKTA,"Okta, Inc.",A,COOLING,77.8,148.6,138.39,136.91,-0.0779,0.0575,-0.131,Y,16.0,0.0414,,OPEN
2026-07-07,PNTG,"The Pennant Group, Inc.",A,COOLING,75.3,39.91,37.58,41.08,0.0348,0.0753,-0.0302,,16.0,0.0015,,OPEN
2026-07-07,TBLA,Taboola.com Ltd.,B,COOLING,67.2,5.53,5.18,5.17,-0.0479,0.0424,-0.1271,Y,16.0,0.011,,OPEN
2026-07-07,ALKS,Alkermes plc,B,COOLING,66.0,55.14,52.06,48.34,-0.1246,-0.0058,-0.1369,Y,16.0,-0.0656,,OPEN
2026-07-07,ALHC,"Alignment Healthcare, Inc.",A,COOLING,71.3,24.56,22.99,18.29,-0.2395,0.0129,-0.2553,Y,16.0,-0.1185,,OPEN
2026-07-07,LGND,Ligand Pharmaceuticals Incorpor,B,COOLING,65.8,320.42,302.72,288.01,-0.0984,0.0225,-0.1009,Y,16.0,-0.0578,,OPEN
