date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,20.75,0.156,0.1666,-0.0797,,20.0,0.0267,,OPEN
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,28.14,-0.0995,0.1466,-0.1475,,20.0,0.0038,,OPEN
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,35.42,-0.0862,0.0395,-0.1138,,20.0,-0.0025,,OPEN
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,60.78,-0.0306,0.0427,-0.0429,,20.0,0.0056,,OPEN
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,112.59,-0.0653,0.0792,-0.12,,20.0,0.0665,,OPEN
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,186.67,-0.081,0.0305,-0.0997,,20.0,-0.0669,,OPEN
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,12.46,-0.1287,0.0497,-0.1748,,20.0,0.0063,,OPEN
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,192.0,0.0805,0.1692,-0.0109,,20.0,0.0196,,OPEN
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,7.62,-0.2566,0.0156,-0.3307,,20.0,-0.0849,,OPEN
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,27.92,-0.0758,0.0122,-0.0976,,20.0,-0.003,,OPEN
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,144.5,0.0753,0.0914,-0.0435,,20.0,-0.0184,,OPEN
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,141.9,-0.0548,0.0319,-0.0573,,20.0,-0.0119,,OPEN
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.58,0.0128,0.0354,-0.063,,20.0,-0.0374,,OPEN
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,55.73,0.0388,0.0941,-0.0216,,20.0,0.0076,,OPEN
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,67.71,0.287,0.3102,-0.0224,,19.0,0.0502,,OPEN
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,41.13,0.0678,0.1083,-0.0106,,19.0,0.0419,,OPEN
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,8.49,0.1473,0.1486,-0.0635,,19.0,0.0534,,OPEN
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,52.61,0.0034,0.0484,-0.038,,19.0,-0.0076,,OPEN
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,73.1,0.529,0.5633,-0.0151,,19.0,0.1012,,OPEN
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,14.25,-0.0233,0.0583,-0.0658,,19.0,0.037,,OPEN
2026-07-02,MAMA,"Mama's Creations, Inc.",B,FRESH IGNITION,61.9,18.33,,18.25,-0.023,0.0535,-0.1183,,19.0,0.0214,,OPEN
2026-07-02,EGBN,"Eagle Bancorp, Inc.",B,FRESH IGNITION,61.7,28.57,,27.49,-0.0036,0.0507,-0.1287,,19.0,-0.029,,OPEN
2026-07-02,SRRK,Scholar Rock Holding Corporatio,B,FRESH IGNITION,61.5,52.84,,48.99,-0.1073,0.0658,-0.1386,,19.0,0.0313,,OPEN
2026-07-02,PVLA,"Palvella Therapeutics, Inc.",B,FRESH IGNITION,69.4,146.76,,150.19,0.0234,0.0771,-0.1782,,19.0,-0.0181,,OPEN
2026-07-02,PTCT,"PTC Therapeutics, Inc.",B,FRESH IGNITION,66.9,83.31,,75.52,-0.0935,0.0907,-0.1284,,19.0,0.0296,,OPEN
2026-07-02,AUB,Atlantic Union Bankshares Corpo,B,FRESH IGNITION,60.4,42.26,,42.28,0.0005,0.031,-0.0445,,19.0,-0.008,,OPEN
2026-07-02,ALTO,"Alto Ingredients, Inc.",B,FRESH IGNITION,60.3,5.56,,4.62,-0.1691,0.0935,-0.2428,,19.0,0.0153,,OPEN
2026-07-07,OPY,"Oppenheimer Holdings, Inc.",A,FRESH IGNITION,76.0,115.47,,110.7,-0.0287,0.0813,-0.0815,,17.0,0.0379,,OPEN
2026-07-07,BSTZ,BlackRock Science and Technolog,B,FRESH IGNITION,65.2,29.62,,27.94,-0.0142,0.0476,-0.0668,,17.0,0.0319,,OPEN
2026-07-07,DSGN,"Design Therapeutics, Inc.",B,FRESH IGNITION,63.3,14.85,,12.62,-0.1421,0.07,-0.2273,,17.0,-0.0707,,OPEN
2026-07-07,GKOS,Glaukos Corporation,A,COILED,72.5,148.7,139.22,168.52,0.1186,0.2185,-0.05,,17.0,0.0119,,OPEN
2026-07-07,NVRI,Enviri Corporation,A,COILED,70.7,23.1,21.38,22.21,-0.0142,0.0457,-0.0457,,17.0,0.0009,,OPEN
2026-07-07,TRNS,"Transcat, Inc.",B,COILED,69.4,91.72,85.33,83.34,-0.0462,0.0897,-0.095,Y,17.0,0.0269,,OPEN
2026-07-07,CROX,"Crocs, Inc.",B,COILED,67.7,125.78,118.42,123.66,-0.0071,0.1274,-0.0927,Y,17.0,0.0532,,OPEN
2026-07-07,EPC,Edgewell Personal Care Company,B,COILED,66.4,26.67,24.69,27.25,0.0241,0.1218,-0.0782,Y,17.0,0.0316,,OPEN
2026-07-07,AMG,"Affiliated Managers Group, Inc.",B,COILED,66.1,356.61,340.8,365.46,0.016,0.064,-0.0879,Y,17.0,0.0175,,OPEN
2026-07-07,LEVI,Levi Strauss & Co,B,COILED,64.6,24.68,23.46,24.53,0.0013,0.049,-0.0888,Y,17.0,-0.0353,,OPEN
2026-07-07,MSM,"MSC Industrial Direct Company, ",B,COILED,64.6,121.14,115.55,121.46,0.019,0.0805,-0.0159,,17.0,0.0412,,OPEN
2026-07-07,HXL,Hexcel Corporation,B,COILED,64.1,101.3,96.66,102.91,0.028,0.1162,-0.0277,,17.0,0.0177,,OPEN
2026-07-07,ANET,"Arista Networks, Inc.",B,COILED,64.1,173.28,158.76,171.02,0.0274,0.1403,-0.0578,Y,17.0,0.0968,,OPEN
2026-07-07,EAT,"Brinker International, Inc.",B,COILED,63.4,176.28,165.33,209.86,0.1971,0.1993,-0.04,,17.0,0.0572,,OPEN
2026-07-07,YOU,"Clear Secure, Inc.",B,COILED,63.3,56.74,52.72,56.1,0.0034,0.0726,-0.0835,Y,17.0,-0.0424,,OPEN
2026-07-07,PSA,Public Storage,B,COILED,62.8,324.0,313.33,317.45,-0.0342,0.0209,-0.0643,Y,17.0,-0.0297,,OPEN
2026-07-07,MATX,"Matson, Inc.",B,COILED,62.7,204.53,195.02,203.65,0.0258,0.1622,-0.0253,Y,17.0,0.0626,,OPEN
2026-07-07,MCB,Metropolitan Bank Holding Corp.,B,COILED,62.4,100.21,96.05,92.82,-0.0438,0.0444,-0.109,Y,17.0,-0.0018,,OPEN
