date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,21.87,0.2184,0.1666,-0.0797,,23.0,0.0267,0.1315,MATURED
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,31.67,0.0134,0.1466,-0.1482,,23.0,0.0038,-0.0522,MATURED
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,35.74,-0.0779,0.0395,-0.1138,,23.0,-0.0025,-0.0774,MATURED
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,60.45,-0.0359,0.0427,-0.0642,,23.0,0.0056,-0.062,MATURED
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,104.33,-0.1339,0.0792,-0.1225,,23.0,0.0665,-0.1205,MATURED
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,196.48,-0.0327,0.0305,-0.0997,,23.0,-0.0669,-0.0757,MATURED
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,13.61,-0.0483,0.0497,-0.1748,,23.0,0.0063,-0.1266,MATURED
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,186.91,0.0519,0.1692,-0.0109,,23.0,0.0196,0.0739,MATURED
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,8.67,-0.1541,0.0156,-0.3307,,23.0,-0.0849,-0.2488,MATURED
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,28.25,-0.0649,0.0122,-0.0976,,23.0,-0.003,-0.0801,MATURED
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,145.73,0.0844,0.0914,-0.0435,,23.0,-0.0184,0.0798,MATURED
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,144.57,-0.037,0.0319,-0.0632,,23.0,-0.0119,-0.048,MATURED
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.8,0.0236,0.0354,-0.063,,23.0,-0.0374,0.0064,MATURED
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,54.47,0.0153,0.0941,-0.0216,,23.0,0.0076,0.0363,MATURED
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,66.14,0.262,0.3102,-0.0224,,22.0,0.0502,0.2614,MATURED
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,38.61,0.0023,0.1083,-0.0106,,22.0,0.0419,0.0495,MATURED
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,9.01,0.2176,0.2041,-0.0635,,22.0,0.0534,0.1878,MATURED
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,55.38,0.0563,0.0486,-0.038,,22.0,-0.0076,0.033,MATURED
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,65.89,0.3782,0.5633,-0.0151,,22.0,0.1012,0.4652,MATURED
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,14.26,-0.0226,0.0583,-0.0658,,22.0,0.037,-0.0239,MATURED
