date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,22.82,0.2713,0.1666,-0.0797,,26.0,0.0267,0.1315,MATURED
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,31.53,0.009,0.1466,-0.1482,,26.0,0.0038,-0.0522,MATURED
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,33.08,-0.1409,0.0395,-0.1138,,26.0,-0.0025,-0.0774,MATURED
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,59.16,-0.0565,0.0427,-0.0642,,26.0,0.0056,-0.062,MATURED
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,100.65,-0.1645,0.0792,-0.1225,,26.0,0.0665,-0.1205,MATURED
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,198.29,-0.0238,0.0305,-0.0997,,26.0,-0.0669,-0.0757,MATURED
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,13.48,-0.0573,0.0497,-0.1748,,26.0,0.0063,-0.1266,MATURED
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,189.57,0.0669,0.1692,-0.0109,,26.0,0.0196,0.0739,MATURED
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,8.51,-0.1698,0.0156,-0.3307,,26.0,-0.0849,-0.2488,MATURED
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,27.49,-0.09,0.0122,-0.0976,,26.0,-0.003,-0.0801,MATURED
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,144.94,0.0786,0.0914,-0.0435,,26.0,-0.0184,0.0798,MATURED
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,141.84,-0.0494,0.0319,-0.0632,,26.0,-0.0119,-0.048,MATURED
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.42,0.0049,0.0354,-0.063,,26.0,-0.0374,0.0064,MATURED
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,56.74,0.0576,0.0941,-0.0216,,26.0,0.0076,0.0363,MATURED
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,58.46,0.1154,0.3102,-0.0224,,25.0,0.0502,0.2614,MATURED
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,39.0,0.0125,0.1083,-0.0106,,25.0,0.0419,0.0495,MATURED
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,9.17,0.2392,0.2041,-0.0635,,25.0,0.0534,0.1878,MATURED
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,53.87,0.0275,0.0486,-0.038,,25.0,-0.0076,0.033,MATURED
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,61.71,0.2907,0.5633,-0.0151,,25.0,0.1012,0.4652,MATURED
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,13.95,-0.0439,0.0583,-0.0658,,25.0,0.037,-0.0239,MATURED
2026-07-02,MAMA,"Mama's Creations, Inc.",B,FRESH IGNITION,61.9,18.33,,17.91,-0.0412,0.0535,-0.1183,,25.0,0.0214,-0.0075,MATURED
2026-07-02,EGBN,"Eagle Bancorp, Inc.",B,FRESH IGNITION,61.7,28.57,,27.71,0.0047,0.0507,-0.1287,,25.0,-0.029,0.004,MATURED
2026-07-02,SRRK,Scholar Rock Holding Corporatio,B,FRESH IGNITION,61.5,52.84,,52.92,-0.0357,0.0658,-0.1667,,25.0,0.0313,-0.1531,MATURED
2026-07-02,PVLA,"Palvella Therapeutics, Inc.",B,FRESH IGNITION,69.4,146.76,,157.77,0.075,0.0771,-0.1782,,25.0,-0.0181,-0.0404,MATURED
2026-07-02,PTCT,"PTC Therapeutics, Inc.",B,FRESH IGNITION,66.9,83.31,,73.31,-0.12,0.0907,-0.225,,25.0,0.0296,-0.1858,MATURED
2026-07-02,AUB,Atlantic Union Bankshares Corpo,B,FRESH IGNITION,60.4,42.26,,41.78,-0.0114,0.031,-0.0445,,25.0,-0.008,0.0147,MATURED
2026-07-02,ALTO,"Alto Ingredients, Inc.",B,FRESH IGNITION,60.3,5.56,,4.39,-0.2104,0.0935,-0.2428,,25.0,0.0153,-0.1493,MATURED
2026-07-07,OPY,"Oppenheimer Holdings, Inc.",A,FRESH IGNITION,76.0,115.47,,111.64,-0.0204,0.0813,-0.0988,,23.0,0.0379,0.017,MATURED
2026-07-07,BSTZ,BlackRock Science and Technolog,B,FRESH IGNITION,65.2,29.62,,30.08,0.0613,0.0694,-0.0668,,23.0,0.0319,0.0609,MATURED
2026-07-07,DSGN,"Design Therapeutics, Inc.",B,FRESH IGNITION,63.3,14.85,,13.99,-0.0489,0.07,-0.2273,,23.0,-0.0707,-0.0775,MATURED
2026-07-07,GKOS,Glaukos Corporation,A,COILED,72.5,148.7,139.22,180.02,0.195,0.2214,-0.05,,23.0,0.0119,0.1255,MATURED
2026-07-07,NVRI,Enviri Corporation,A,COILED,70.7,23.1,21.38,22.07,-0.0204,0.0741,-0.0457,,23.0,0.0009,0.032,MATURED
2026-07-07,TRNS,"Transcat, Inc.",B,COILED,69.4,91.72,85.33,93.11,0.0656,0.0897,-0.095,Y,23.0,0.0269,0.0427,MATURED
2026-07-07,CROX,"Crocs, Inc.",B,COILED,67.7,125.78,118.42,136.62,0.0969,0.1343,-0.0927,Y,23.0,0.0532,0.1098,MATURED
2026-07-07,EPC,Edgewell Personal Care Company,B,COILED,66.4,26.67,24.69,28.38,0.0665,0.1255,-0.0782,Y,23.0,0.0316,0.097,MATURED
2026-07-07,AMG,"Affiliated Managers Group, Inc.",B,COILED,66.1,356.61,340.8,369.7,0.0277,0.0923,-0.0879,Y,23.0,0.0175,0.0589,MATURED
2026-07-07,LEVI,Levi Strauss & Co,B,COILED,64.6,24.68,23.46,24.41,-0.0036,0.049,-0.0888,Y,23.0,-0.0353,0.0149,MATURED
2026-07-07,MSM,"MSC Industrial Direct Company, ",B,COILED,64.6,121.14,115.55,122.92,0.0312,0.0945,-0.0159,,23.0,0.0412,0.0696,MATURED
2026-07-07,HXL,Hexcel Corporation,B,COILED,64.1,101.3,96.66,103.43,0.0332,0.1162,-0.0277,,23.0,0.0177,0.0471,MATURED
2026-07-07,ANET,"Arista Networks, Inc.",B,COILED,64.1,173.28,158.76,188.67,0.1334,0.2909,-0.0578,Y,23.0,0.0968,0.1949,MATURED
2026-07-07,EAT,"Brinker International, Inc.",B,COILED,63.4,176.28,165.33,225.2,0.2847,0.2932,-0.04,,23.0,0.0572,0.2867,MATURED
2026-07-07,YOU,"Clear Secure, Inc.",B,COILED,63.3,56.74,52.72,51.29,-0.0826,0.2354,-0.0835,Y,23.0,-0.0424,0.076,MATURED
2026-07-07,PSA,Public Storage,B,COILED,62.8,324.0,313.33,328.4,-0.0009,0.0209,-0.0643,Y,23.0,-0.0297,-0.0078,MATURED
2026-07-07,MATX,"Matson, Inc.",B,COILED,62.7,204.53,195.02,206.77,0.0434,0.1622,-0.0253,Y,23.0,0.0626,0.0559,MATURED
2026-07-07,MCB,Metropolitan Bank Holding Corp.,B,COILED,62.4,100.21,96.05,92.86,-0.0397,0.0444,-0.109,Y,23.0,-0.0018,-0.0316,MATURED
2026-07-07,AAPL,Apple Inc.,B,COILED,62.3,312.66,299.72,313.33,0.0086,0.1092,-0.0343,,23.0,0.0135,-0.0055,MATURED
2026-07-07,DBD,Diebold Nixdorf Incorporated,B,COILED,62.2,84.16,79.81,75.38,-0.0979,0.102,-0.1567,Y,23.0,0.0241,-0.0753,MATURED
2026-07-07,FR,"First Industrial Realty Trust, ",B,COILED,62.0,63.04,61.13,63.63,-0.0124,0.0846,-0.0101,,23.0,0.005,-0.0052,MATURED
2026-07-07,PM,Philip Morris International Inc,B,COILED,61.9,184.76,177.43,189.57,0.0095,0.1063,-0.0641,Y,23.0,-0.063,0.0028,MATURED
2026-07-07,NET,"Cloudflare, Inc.",B,COILED,61.5,247.55,229.17,300.27,0.117,0.1345,-0.0675,,23.0,0.0481,0.0992,MATURED
2026-07-07,TT,Trane Technologies plc,B,COILED,61.0,487.24,463.11,482.31,0.0138,0.0316,-0.0755,Y,23.0,0.0164,0.0173,MATURED
2026-07-07,ECO,Okeanis Eco Tankers Corp.,B,COILED,60.9,53.35,49.86,61.86,0.1515,0.1852,-0.0525,,23.0,0.056,0.1368,MATURED
2026-07-07,JPM,JP Morgan Chase & Co.,B,COILED,60.8,337.72,326.7,357.52,0.054,0.0701,-0.0397,Y,23.0,0.0108,0.0625,MATURED
2026-07-07,FCFS,"FirstCash Holdings, Inc.",B,COILED,60.5,224.29,212.06,202.54,-0.0928,0.001,-0.1538,Y,23.0,-0.0591,-0.0538,MATURED
2026-07-07,CPT,Camden Property Trust,B,COILED,60.2,116.95,113.73,111.93,-0.0481,-0.0049,-0.0733,Y,23.0,-0.0391,-0.0542,MATURED
2026-07-07,MAC,Macerich Company (The),B,COILED,60.2,25.28,24.27,24.4,-0.0428,0.0467,-0.051,Y,23.0,-0.0235,-0.0027,MATURED
2026-07-07,COLB,"Columbia Banking System, Inc.",B,COILED,60.0,32.24,31.18,31.24,-0.0274,0.0486,-0.0427,Y,23.0,0.004,-0.0146,MATURED
2026-07-07,LPRO,Open Lending Corporation,A,COOLING,70.3,3.13,2.97,3.14,0.0032,0.0064,-0.0032,,17.0,0.0032,,OPEN
2026-07-07,VOYA,"Voya Financial, Inc.",B,COOLING,67.9,96.28,92.8,101.4,0.0519,0.0773,-0.0189,,23.0,0.0197,0.028,MATURED
