date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,17.7,-0.0139,0.0507,-0.0797,,14.0,0.0267,,OPEN
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,34.78,0.113,0.1462,-0.0502,,14.0,0.0038,,OPEN
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,38.36,-0.0103,0.0395,-0.0697,,14.0,-0.0025,,OPEN
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,62.31,-0.0062,0.0427,-0.0293,,14.0,0.0056,,OPEN
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,114.48,-0.0496,0.0792,-0.0619,,14.0,0.0665,,OPEN
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,186.8,-0.0803,0.0093,-0.0997,,14.0,-0.0669,,OPEN
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,14.82,0.0364,0.0455,-0.0608,,14.0,0.0063,,OPEN
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,194.3,0.0935,0.1243,-0.0109,,14.0,0.0196,,OPEN
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,9.08,-0.1141,0.0156,-0.1483,,14.0,-0.0849,,OPEN
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,28.81,-0.0463,0.0122,-0.0976,,14.0,-0.003,,OPEN
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,139.17,0.0356,0.0399,-0.0435,,14.0,-0.0184,,OPEN
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,148.74,-0.0092,0.0319,-0.0348,,14.0,-0.0119,,OPEN
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.21,-0.0054,0.0167,-0.0556,,14.0,-0.0374,,OPEN
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,57.08,0.0639,0.081,-0.0216,,14.0,0.0076,,OPEN
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,66.17,0.2577,0.3102,-0.0224,,13.0,0.0502,,OPEN
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,40.45,0.0501,0.1046,-0.0106,,13.0,0.0419,,OPEN
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,7.06,-0.0459,0.0919,-0.0635,,13.0,0.0534,,OPEN
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,52.22,-0.004,0.0484,-0.038,,13.0,-0.0076,,OPEN
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,64.33,0.3455,0.4292,-0.0151,,13.0,0.1012,,OPEN
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,14.88,0.0199,0.0583,-0.0185,,13.0,0.037,,OPEN
2026-07-02,MAMA,"Mama's Creations, Inc.",B,FRESH IGNITION,61.9,18.33,,17.22,-0.0782,0.0535,-0.1183,,13.0,0.0214,,OPEN
2026-07-02,EGBN,"Eagle Bancorp, Inc.",B,FRESH IGNITION,61.7,28.57,,26.94,-0.0236,0.0178,-0.0529,,13.0,-0.029,,OPEN
2026-07-02,SRRK,Scholar Rock Holding Corporatio,B,FRESH IGNITION,61.5,52.84,,48.3,-0.1199,0.0658,-0.1386,,13.0,0.0313,,OPEN
2026-07-02,PVLA,"Palvella Therapeutics, Inc.",B,FRESH IGNITION,69.4,146.76,,142.18,-0.0312,0.0771,-0.1782,,13.0,-0.0181,,OPEN
2026-07-02,PTCT,"PTC Therapeutics, Inc.",B,FRESH IGNITION,66.9,83.31,,78.4,-0.0589,0.0907,-0.0811,,13.0,0.0296,,OPEN
2026-07-02,AUB,Atlantic Union Bankshares Corpo,B,FRESH IGNITION,60.4,42.26,,42.34,0.0019,0.031,-0.0445,,13.0,-0.008,,OPEN
2026-07-02,ALTO,"Alto Ingredients, Inc.",B,FRESH IGNITION,60.3,5.56,,5.07,-0.0872,0.0935,-0.1259,,13.0,0.0153,,OPEN
2026-07-07,OPY,"Oppenheimer Holdings, Inc.",A,FRESH IGNITION,76.0,115.47,,110.54,-0.0301,0.0813,-0.0815,,11.0,0.0379,,OPEN
2026-07-07,BSTZ,BlackRock Science and Technolog,B,FRESH IGNITION,65.2,29.62,,28.73,0.0137,0.0432,-0.0569,,11.0,0.0319,,OPEN
2026-07-07,DSGN,"Design Therapeutics, Inc.",B,FRESH IGNITION,63.3,14.85,,11.78,-0.1992,0.07,-0.2067,,11.0,-0.0707,,OPEN
2026-07-07,GKOS,Glaukos Corporation,A,COILED,72.5,148.7,139.22,152.86,0.0147,0.0722,-0.05,,11.0,0.0119,,OPEN
2026-07-07,NVRI,Enviri Corporation,A,COILED,70.7,23.1,21.38,22.97,0.0195,0.0457,-0.0448,,11.0,0.0009,,OPEN
2026-07-07,TRNS,"Transcat, Inc.",B,COILED,69.4,91.72,85.33,88.07,0.0079,0.0897,-0.0331,Y,11.0,0.0269,,OPEN
2026-07-07,CROX,"Crocs, Inc.",B,COILED,67.7,125.78,118.42,136.2,0.0935,0.1274,-0.0386,,11.0,0.0532,,OPEN
2026-07-07,EPC,Edgewell Personal Care Company,B,COILED,66.4,26.67,24.69,27.65,0.0391,0.1218,-0.0312,,11.0,0.0316,,OPEN
2026-07-07,AMG,"Affiliated Managers Group, Inc.",B,COILED,66.1,356.61,340.8,346.7,-0.0362,0.064,-0.0879,Y,11.0,0.0175,,OPEN
2026-07-07,LEVI,Levi Strauss & Co,B,COILED,64.6,24.68,23.46,24.74,0.0032,0.0166,-0.0888,Y,11.0,-0.0353,,OPEN
2026-07-07,MSM,"MSC Industrial Direct Company, ",B,COILED,64.6,121.14,115.55,127.28,0.0678,0.0701,-0.0159,,11.0,0.0412,,OPEN
2026-07-07,HXL,Hexcel Corporation,B,COILED,64.1,101.3,96.66,106.62,0.065,0.097,-0.0277,,11.0,0.0177,,OPEN
2026-07-07,ANET,"Arista Networks, Inc.",B,COILED,64.1,173.28,158.76,174.87,0.0505,0.1403,-0.056,Y,11.0,0.0968,,OPEN
2026-07-07,EAT,"Brinker International, Inc.",B,COILED,63.4,176.28,165.33,187.23,0.0681,0.1203,-0.04,,11.0,0.0572,,OPEN
2026-07-07,YOU,"Clear Secure, Inc.",B,COILED,63.3,56.74,52.72,52.3,-0.0646,0.0336,-0.076,Y,11.0,-0.0424,,OPEN
2026-07-07,PSA,Public Storage,B,COILED,62.8,324.0,313.33,311.7,-0.0517,0.0007,-0.0643,Y,11.0,-0.0297,,OPEN
2026-07-07,MATX,"Matson, Inc.",B,COILED,62.7,204.53,195.02,215.9,0.0875,0.1622,-0.0015,,11.0,0.0626,,OPEN
2026-07-07,MCB,Metropolitan Bank Holding Corp.,B,COILED,62.4,100.21,96.05,90.19,-0.0709,0.0444,-0.109,Y,11.0,-0.0018,,OPEN
2026-07-07,AAPL,Apple Inc.,B,COILED,62.3,312.66,299.72,325.89,0.049,0.0783,-0.0116,,11.0,0.0135,,OPEN
2026-07-07,DBD,Diebold Nixdorf Incorporated,B,COILED,62.2,84.16,79.81,87.11,0.0425,0.0639,-0.0215,,11.0,0.0241,,OPEN
2026-07-07,FR,"First Industrial Realty Trust, ",B,COILED,62.0,63.04,61.13,67.71,0.0509,0.0846,-0.0081,,11.0,0.005,,OPEN
2026-07-07,PM,Philip Morris International Inc,B,COILED,61.9,184.76,177.43,194.3,0.0347,0.0638,-0.0641,Y,11.0,-0.063,,OPEN
2026-07-07,NET,"Cloudflare, Inc.",B,COILED,61.5,247.55,229.17,268.98,0.0006,0.0825,-0.0418,,11.0,0.0481,,OPEN
2026-07-07,TT,Trane Technologies plc,B,COILED,61.0,487.24,463.11,473.6,-0.0045,0.0316,-0.0336,Y,11.0,0.0164,,OPEN
2026-07-07,ECO,Okeanis Eco Tankers Corp.,B,COILED,60.9,53.35,49.86,56.47,0.0512,0.0784,-0.0525,,11.0,0.056,,OPEN
2026-07-07,JPM,JP Morgan Chase & Co.,B,COILED,60.8,337.72,326.7,348.21,0.0265,0.0354,-0.0397,Y,11.0,0.0108,,OPEN
2026-07-07,FCFS,"FirstCash Holdings, Inc.",B,COILED,60.5,224.29,212.06,208.74,-0.065,0.001,-0.0922,Y,11.0,-0.0591,,OPEN
2026-07-07,CPT,Camden Property Trust,B,COILED,60.2,116.95,113.73,112.01,-0.0474,-0.0049,-0.052,Y,11.0,-0.0391,,OPEN
2026-07-07,MAC,Macerich Company (The),B,COILED,60.2,25.28,24.27,25.36,-0.0051,0.029,-0.051,Y,11.0,-0.0235,,OPEN
2026-07-07,COLB,"Columbia Banking System, Inc.",B,COILED,60.0,32.24,31.18,32.63,0.0159,0.0486,-0.0399,Y,11.0,0.004,,OPEN
2026-07-07,LPRO,Open Lending Corporation,A,COOLING,70.3,3.13,2.97,3.14,0.0032,0.0032,-0.0032,,11.0,0.0032,,OPEN
2026-07-07,VOYA,"Voya Financial, Inc.",B,COOLING,67.9,96.28,92.8,98.52,0.022,0.0773,-0.0189,,11.0,0.0197,,OPEN
2026-07-07,ZD,"Ziff Davis, Inc.",A,COOLING,70.0,53.78,51.02,52.22,-0.0195,0.0321,-0.0529,Y,11.0,-0.0248,,OPEN
2026-07-07,OKTA,"Okta, Inc.",A,COOLING,77.8,148.6,138.39,136.69,-0.0793,0.0575,-0.095,Y,11.0,0.0414,,OPEN
2026-07-07,PNTG,"The Pennant Group, Inc.",A,COOLING,75.3,39.91,37.58,40.45,0.0189,0.0718,-0.0302,,11.0,0.0015,,OPEN
2026-07-07,TBLA,Taboola.com Ltd.,B,COOLING,67.2,5.53,5.18,4.92,-0.0939,0.0424,-0.1122,Y,11.0,0.011,,OPEN
2026-07-07,ALKS,Alkermes plc,B,COOLING,66.0,55.14,52.06,52.58,-0.0478,-0.0058,-0.0857,Y,11.0,-0.0656,,OPEN
2026-07-07,ALHC,"Alignment Healthcare, Inc.",A,COOLING,71.3,24.56,22.99,20.77,-0.1364,0.0129,-0.1892,Y,11.0,-0.1185,,OPEN
