date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,20.17,0.1237,0.1666,-0.0797,,22.0,0.0267,0.1315,MATURED
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,30.59,-0.0211,0.1466,-0.1482,,22.0,0.0038,-0.0522,MATURED
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,35.12,-0.0939,0.0395,-0.1138,,22.0,-0.0025,-0.0774,MATURED
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,58.59,-0.0656,0.0427,-0.0642,,22.0,0.0056,-0.062,MATURED
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,104.59,-0.1317,0.0792,-0.1225,,22.0,0.0665,-0.1205,MATURED
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,192.17,-0.0539,0.0305,-0.0997,,22.0,-0.0669,-0.0757,MATURED
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,13.21,-0.0762,0.0497,-0.1748,,22.0,0.0063,-0.1266,MATURED
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,187.41,0.0547,0.1692,-0.0109,,22.0,0.0196,0.0739,MATURED
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,7.81,-0.238,0.0156,-0.3307,,22.0,-0.0849,-0.2488,MATURED
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,28.01,-0.0728,0.0122,-0.0976,,22.0,-0.003,-0.0801,MATURED
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,145.49,0.0827,0.0914,-0.0435,,22.0,-0.0184,0.0798,MATURED
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,143.79,-0.0422,0.0319,-0.0632,,22.0,-0.0119,-0.048,MATURED
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.77,0.0221,0.0354,-0.063,,22.0,-0.0374,0.0064,MATURED
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,55.12,0.0274,0.0941,-0.0216,,22.0,0.0076,0.0363,MATURED
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,66.01,0.2547,0.3102,-0.0224,,21.0,0.0502,0.2614,MATURED
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,40.18,0.0431,0.1083,-0.0106,,21.0,0.0419,0.0495,MATURED
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,8.7,0.1757,0.2041,-0.0635,,21.0,0.0534,0.1878,MATURED
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,54.01,0.0301,0.0486,-0.038,,21.0,-0.0076,0.033,MATURED
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,67.91,0.4204,0.5633,-0.0151,,21.0,0.1012,0.4652,MATURED
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,14.22,-0.0254,0.0583,-0.0658,,21.0,0.037,-0.0239,MATURED
2026-07-02,MAMA,"Mama's Creations, Inc.",B,FRESH IGNITION,61.9,18.33,,18.89,0.0112,0.0535,-0.1183,,21.0,0.0214,-0.0075,MATURED
2026-07-02,EGBN,"Eagle Bancorp, Inc.",B,FRESH IGNITION,61.7,28.57,,27.86,0.0098,0.0507,-0.1287,,21.0,-0.029,0.004,MATURED
2026-07-02,SRRK,Scholar Rock Holding Corporatio,B,FRESH IGNITION,61.5,52.84,,45.85,-0.1645,0.0658,-0.1667,,21.0,0.0313,-0.1531,MATURED
2026-07-02,PVLA,"Palvella Therapeutics, Inc.",B,FRESH IGNITION,69.4,146.76,,140.78,-0.0407,0.0771,-0.1782,,21.0,-0.0181,-0.0404,MATURED
2026-07-02,PTCT,"PTC Therapeutics, Inc.",B,FRESH IGNITION,66.9,83.31,,68.11,-0.1824,0.0907,-0.225,,21.0,0.0296,-0.1858,MATURED
2026-07-02,AUB,Atlantic Union Bankshares Corpo,B,FRESH IGNITION,60.4,42.26,,42.77,0.0121,0.031,-0.0445,,21.0,-0.008,0.0147,MATURED
2026-07-02,ALTO,"Alto Ingredients, Inc.",B,FRESH IGNITION,60.3,5.56,,4.86,-0.1259,0.0935,-0.2428,,21.0,0.0153,-0.1493,MATURED
2026-07-07,OPY,"Oppenheimer Holdings, Inc.",A,FRESH IGNITION,76.0,115.47,,113.13,-0.0074,0.0813,-0.0988,,19.0,0.0379,,OPEN
2026-07-07,BSTZ,BlackRock Science and Technolog,B,FRESH IGNITION,65.2,29.62,,28.96,0.0218,0.0476,-0.0668,,19.0,0.0319,,OPEN
2026-07-07,DSGN,"Design Therapeutics, Inc.",B,FRESH IGNITION,63.3,14.85,,12.76,-0.1326,0.07,-0.2273,,19.0,-0.0707,,OPEN
2026-07-07,GKOS,Glaukos Corporation,A,COILED,72.5,148.7,139.22,170.87,0.1342,0.2214,-0.05,,19.0,0.0119,,OPEN
2026-07-07,NVRI,Enviri Corporation,A,COILED,70.7,23.1,21.38,23.15,0.0275,0.0457,-0.0457,,19.0,0.0009,,OPEN
2026-07-07,TRNS,"Transcat, Inc.",B,COILED,69.4,91.72,85.33,89.58,0.0252,0.0897,-0.095,Y,19.0,0.0269,,OPEN
2026-07-07,CROX,"Crocs, Inc.",B,COILED,67.7,125.78,118.42,134.89,0.083,0.1274,-0.0927,Y,19.0,0.0532,,OPEN
2026-07-07,EPC,Edgewell Personal Care Company,B,COILED,66.4,26.67,24.69,27.59,0.0368,0.1218,-0.0782,Y,19.0,0.0316,,OPEN
2026-07-07,AMG,"Affiliated Managers Group, Inc.",B,COILED,66.1,356.61,340.8,380.89,0.0589,0.0678,-0.0879,Y,19.0,0.0175,,OPEN
2026-07-07,LEVI,Levi Strauss & Co,B,COILED,64.6,24.68,23.46,24.61,0.0045,0.049,-0.0888,Y,19.0,-0.0353,,OPEN
2026-07-07,MSM,"MSC Industrial Direct Company, ",B,COILED,64.6,121.14,115.55,124.91,0.0479,0.0805,-0.0159,,19.0,0.0412,,OPEN
2026-07-07,HXL,Hexcel Corporation,B,COILED,64.1,101.3,96.66,102.28,0.0217,0.1162,-0.0277,,19.0,0.0177,,OPEN
2026-07-07,ANET,"Arista Networks, Inc.",B,COILED,64.1,173.28,158.76,184.89,0.1107,0.1403,-0.0578,Y,19.0,0.0968,,OPEN
2026-07-07,EAT,"Brinker International, Inc.",B,COILED,63.4,176.28,165.33,225.3,0.2852,0.2864,-0.04,,19.0,0.0572,,OPEN
2026-07-07,YOU,"Clear Secure, Inc.",B,COILED,63.3,56.74,52.72,55.15,-0.0136,0.0726,-0.0835,Y,19.0,-0.0424,,OPEN
2026-07-07,PSA,Public Storage,B,COILED,62.8,324.0,313.33,325.9,-0.0085,0.0209,-0.0643,Y,19.0,-0.0297,,OPEN
2026-07-07,MATX,"Matson, Inc.",B,COILED,62.7,204.53,195.02,207.45,0.0449,0.1622,-0.0253,Y,19.0,0.0626,,OPEN
2026-07-07,MCB,Metropolitan Bank Holding Corp.,B,COILED,62.4,100.21,96.05,92.62,-0.0422,0.0444,-0.109,Y,19.0,-0.0018,,OPEN
2026-07-07,AAPL,Apple Inc.,B,COILED,62.3,312.66,299.72,303.42,-0.0233,0.1092,-0.0343,,19.0,0.0135,,OPEN
2026-07-07,DBD,Diebold Nixdorf Incorporated,B,COILED,62.2,84.16,79.81,77.48,-0.0728,0.102,-0.1567,Y,19.0,0.0241,,OPEN
2026-07-07,FR,"First Industrial Realty Trust, ",B,COILED,62.0,63.04,61.13,65.52,0.0169,0.0846,-0.0081,,19.0,0.005,,OPEN
2026-07-07,PM,Philip Morris International Inc,B,COILED,61.9,184.76,177.43,187.41,-0.002,0.1063,-0.0641,Y,19.0,-0.063,,OPEN
2026-07-07,NET,"Cloudflare, Inc.",B,COILED,61.5,247.55,229.17,282.91,0.0524,0.0929,-0.0675,,19.0,0.0481,,OPEN
2026-07-07,TT,Trane Technologies plc,B,COILED,61.0,487.24,463.11,461.21,-0.0305,0.0316,-0.0755,Y,19.0,0.0164,,OPEN
2026-07-07,ECO,Okeanis Eco Tankers Corp.,B,COILED,60.9,53.35,49.86,61.38,0.1426,0.1454,-0.0525,,19.0,0.056,,OPEN
2026-07-07,JPM,JP Morgan Chase & Co.,B,COILED,60.8,337.72,326.7,352.64,0.0396,0.0592,-0.0397,Y,19.0,0.0108,,OPEN
2026-07-07,FCFS,"FirstCash Holdings, Inc.",B,COILED,60.5,224.29,212.06,209.35,-0.0623,0.001,-0.1538,Y,19.0,-0.0591,,OPEN
