date,ticker,name,grade,tab,score_precap,price,stop,cur_price,cur_ret,best_ret,worst_ret,stop_hit,days_held,fwd5,fwd21,status
2026-07-01,AMLX,"Amylyx Pharmaceuticals, Inc.",A,FRESH IGNITION,71.7,17.96,,24.19,0.3476,0.1666,-0.0797,,25.0,0.0267,0.1315,MATURED
2026-07-01,ACHC,"Acadia Healthcare Company, Inc.",A,FRESH IGNITION,70.9,29.53,,30.72,-0.017,0.1466,-0.1482,,25.0,0.0038,-0.0522,MATURED
2026-07-01,AROC,"Archrock, Inc.",B,FRESH IGNITION,67.9,40.71,,33.35,-0.1339,0.0395,-0.1138,,25.0,-0.0025,-0.0774,MATURED
2026-07-01,IIPR,Innovative Industrial Propertie,B,FRESH IGNITION,67.7,61.98,,58.34,-0.0695,0.0427,-0.0642,,25.0,0.0056,-0.062,MATURED
2026-07-01,MIRM,"Mirum Pharmaceuticals, Inc.",B,FRESH IGNITION,66.5,117.07,,94.11,-0.2187,0.0792,-0.1225,,25.0,0.0665,-0.1205,MATURED
2026-07-01,SSD,"Simpson Manufacturing Company, ",B,FRESH IGNITION,66.4,209.35,,193.44,-0.0477,0.0305,-0.0997,,25.0,-0.0669,-0.0757,MATURED
2026-07-01,NPKI,NPK International Inc.,B,FRESH IGNITION,64.6,15.91,,13.54,-0.0531,0.0497,-0.1748,,25.0,0.0063,-0.1266,MATURED
2026-07-01,PM,Philip Morris International Inc,B,FRESH IGNITION,63.7,180.91,,188.05,0.0583,0.1692,-0.0109,,25.0,0.0196,0.0739,MATURED
2026-07-01,TTI,"Tetra Technologies, Inc.",B,FRESH IGNITION,63.4,11.33,,8.59,-0.162,0.0156,-0.3307,,25.0,-0.0849,-0.2488,MATURED
2026-07-01,FHB,"First Hawaiian, Inc.",B,FRESH IGNITION,62.6,29.3,,27.57,-0.0874,0.0122,-0.0976,,25.0,-0.003,-0.0801,MATURED
2026-07-01,CHCO,City Holding Company,B,FRESH IGNITION,61.8,132.64,,145.24,0.0808,0.0914,-0.0435,,25.0,-0.0184,0.0798,MATURED
2026-07-01,IDA,"IDACORP, Inc.",B,FRESH IGNITION,61.6,151.3,,140.91,-0.0556,0.0319,-0.0632,,25.0,-0.0119,-0.048,MATURED
2026-07-01,HBNC,"Horizon Bancorp, Inc.",B,FRESH IGNITION,61.4,19.98,,20.48,0.0079,0.0354,-0.063,,25.0,-0.0374,0.0064,MATURED
2026-07-01,AHR,"American Healthcare REIT, Inc.",B,FRESH IGNITION,60.1,52.15,,54.71,0.0198,0.0941,-0.0216,,25.0,0.0076,0.0363,MATURED
2026-07-02,DK,"Delek US Holdings, Inc.",A,FRESH IGNITION,72.5,53.14,,58.69,0.1198,0.3102,-0.0224,,24.0,0.0502,0.2614,MATURED
2026-07-02,PNTG,"The Pennant Group, Inc.",A,FRESH IGNITION,70.8,37.36,,39.06,0.014,0.1083,-0.0106,,24.0,0.0419,0.0495,MATURED
2026-07-02,STGW,Stagwell Inc.,B,FRESH IGNITION,69.6,7.58,,9.12,0.2324,0.2041,-0.0635,,24.0,0.0534,0.1878,MATURED
2026-07-02,ZD,"Ziff Davis, Inc.",B,FRESH IGNITION,68.8,51.97,,50.95,-0.0282,0.0486,-0.038,,24.0,-0.0076,0.033,MATURED
2026-07-02,PBF,PBF Energy Inc.,B,FRESH IGNITION,63.0,48.04,,61.24,0.2809,0.5633,-0.0151,,24.0,0.1012,0.4652,MATURED
2026-07-02,FLG,"Flagstar Bank, N.A.",B,FRESH IGNITION,62.2,15.0,,14.16,-0.0295,0.0583,-0.0658,,24.0,0.037,-0.0239,MATURED
2026-07-02,MAMA,"Mama's Creations, Inc.",B,FRESH IGNITION,61.9,18.33,,18.31,-0.0198,0.0535,-0.1183,,24.0,0.0214,-0.0075,MATURED
2026-07-02,EGBN,"Eagle Bancorp, Inc.",B,FRESH IGNITION,61.7,28.57,,27.86,0.0098,0.0507,-0.1287,,24.0,-0.029,0.004,MATURED
2026-07-02,SRRK,Scholar Rock Holding Corporatio,B,FRESH IGNITION,61.5,52.84,,52.64,-0.0408,0.0658,-0.1667,,24.0,0.0313,-0.1531,MATURED
2026-07-02,PVLA,"Palvella Therapeutics, Inc.",B,FRESH IGNITION,69.4,146.76,,154.93,0.0557,0.0771,-0.1782,,24.0,-0.0181,-0.0404,MATURED
